parameter_name,cDCs CD11b Type
gene_symbol,Snap23
analysis_id,uwu7e636s5zd3nw
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,1.183549
