analysis_id,txc8xw172sr2r26
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
gene_symbol,Slc28a2
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
parameter_name,Startle response
pvalue,0.5000445
