analysis_id,7951h8ltaq3h1d1
pvalue,0.8750697
gene_accession_id,MGI:2674093
gene_symbol,Psd4
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
