parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,xbwzq0q0l7l2fmq
parameter_name,Fat/Body weight
pvalue,0.1843437
gene_accession_id,MGI:1914583
gene_symbol,Stk35
