parameter_id,IMPC_IPG_011_001
gene_accession_id,MGI:1341628
mouse_strain,C57BL
parameter_name,Initial response to glucose challenge
gene_symbol,Atrn
mouse_life_stage,Early adult
pvalue,0.1238942
analysis_id,6zst6268gz7635m
