parameter_name,Weight
analysis_id,9yy526eeq93buu0
parameter_id,CCP_LFO_001_001
pvalue,0.5703706
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_strain,C57BL
