analysis_id,qw1at434nspg0e0
parameter_name,Body position
gene_symbol,Lpgat1
parameter_id,ESLIM_008_001_001
pvalue,0.9198811
mouse_strain,C57BL
gene_accession_id,MGI:2446186
mouse_life_stage,E18.5
