parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
analysis_id,467u7r71073lsdg
pvalue,0.1305205
gene_symbol,Casq1
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
