gene_symbol,Pum1
gene_accession_id,MGI:1931749
mouse_strain,C57BL
parameter_name,Retinal Blood Vessels Pattern
analysis_id,l5kob5s2t489xaz
pvalue,0.8048711
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_026_001
