analysis_id,i718jn3pw1po4xd
parameter_id,MGP_PBI_011_001
mouse_life_stage,Early adult
pvalue,0.2200262
gene_symbol,Bmi1
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
gene_accession_id,MGI:88174
