analysis_id,57972qw3l4s0rq7
parameter_name,CD103+ CD11b-low cDC - % of CD45+
gene_symbol,Bmi1
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
mouse_strain,C57BL
pvalue,0.2610747
parameter_id,MGP_IMM_131_001
