parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
gene_accession_id,MGI:88461
analysis_id,bf4e3p36wqeb3q4
parameter_name,Eyelid morphology
gene_symbol,Col6a3
pvalue,0.123953
mouse_life_stage,Early adult
