parameter_name,Triglycerides
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
analysis_id,bjj90ug36hmlvbu
mouse_strain,C57BL
pvalue,0.8388846
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
