parameter_name,BMC/Body weight
pvalue,0.7719375
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
gene_symbol,Tnfsf10
mouse_strain,C57BL
gene_accession_id,MGI:107414
analysis_id,516j70twr2q5q5g
