analysis_id,7u9u308k5a0v111
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:1915848
parameter_id,JAXLA_CSD_007_001
gene_symbol,Dnajc8
mouse_strain,C57BL
pvalue,0.6757313
mouse_life_stage,Early adult
