gene_symbol,Mapkap1
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.06527917
mouse_strain,C57BL
gene_accession_id,MGI:2444554
analysis_id,dr8f698w77vlgp7
mouse_life_stage,E15.5
parameter_id,IMPC_IMM_032_001
