gene_symbol,Ola1
parameter_name,Number of rears - total
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
pvalue,0.8381645
analysis_id,65712r2we52l8e2
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
