analysis_id,790mv1e04d8d9q8
pvalue,0.6123414
mouse_strain,C57BL
parameter_name,Eye
parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
gene_symbol,Bmi1
gene_accession_id,MGI:88174
