analysis_id,3ir2w8c24440b28
mouse_strain,C57BL
pvalue,0.6384661
mouse_life_stage,Early adult
gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_id,IMPC_CBC_003_001
parameter_name,Chloride
