analysis_id,28733xk2dcx4ki6
pvalue,0.2908573
parameter_name,Sacral processes
mouse_life_stage,Early adult
gene_symbol,Zyg11b
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,IMPC_XRY_066_001
