analysis_id,22qx5310x8tkcgn
pvalue,0.5371025
gene_accession_id,MGI:88328
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
parameter_id,IMPC_CSD_029_001
parameter_name,Activity (body position)
