gene_symbol,Secisbp2l
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,39dq49220w1g4hi
gene_accession_id,MGI:1917604
pvalue,0.07888263
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_004_002
