analysis_id,f2j16gd6wkxtz3f
parameter_id,IMPC_IMM_004_002
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
pvalue,0.0843271
mouse_strain,C58BL
