parameter_name,Snout size
mouse_life_stage,Middle aged adult
analysis_id,7txj8cynib01t11
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.3928381
gene_symbol,Slc30a4
parameter_id,MGP_CSD_067_001
