gene_symbol,Exd1
mouse_strain,C57BL
parameter_id,UCDLA_EYE_017_001
analysis_id,67h5so8460w334n
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
parameter_name,Lens Opacity
pvalue,0.5679721
