parameter_name,Number of centre entries
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Abo
gene_accession_id,MGI:2135738
analysis_id,y16043j74zxu918
pvalue,0.7796782
parameter_id,ESLIM_007_001_015
