gene_symbol,Amigo1
mouse_life_stage,Early adult
analysis_id,pt927y1bvze78a8
gene_accession_id,MGI:2653612
parameter_id,HMGULA_CBC_015_001
pvalue,0.4084068
mouse_strain,C57BL
parameter_name,Total cholesterol
