gene_symbol,Exd1
mouse_strain,C57BL
parameter_name,Center average speed
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
pvalue,0.284283
analysis_id,c532w72amav6zt1
