parameter_name,Startle Response
gene_accession_id,MGI:2674093
parameter_id,M-G-P_008_001_013
analysis_id,41ge20v72pxtwt3
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8815446
gene_symbol,Psd4
