gene_symbol,Uckl1
parameter_id,MGP_IMM_007_001
gene_accession_id,MGI:1915806
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.2283184
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,q656e70y3198q5s
