analysis_id,4il9h13gfn9jc8h
gene_accession_id,MGI:1914071
mouse_strain,C57BL
gene_symbol,Bcs1l
pvalue,0.7976223
parameter_id,HRWLLA_OFD_011_001
parameter_name,Periphery resting time
mouse_life_stage,E9.5
