gene_symbol,Rigi
analysis_id,390k9sy617zn72t
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
mouse_life_stage,Early adult
pvalue,0.8641661
gene_accession_id,MGI:2442858
