parameter_name,Lean/Body weight
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_008_001
gene_symbol,Lamb3
analysis_id,a5346ge83t066bs
mouse_strain,C57BL
pvalue,0.2802579
