gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
pvalue,0.3051837
analysis_id,557gg99315o29y7
parameter_name,Breath rate during sleep standard deviation
mouse_strain,C57BL
parameter_id,JAX_SLW_014_001
