analysis_id,9sji813973l353y
parameter_name,HR
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.2007886
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_ECG_002_001
