parameter_name,LVIDd
mouse_strain,C57BL
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_008_001
analysis_id,txj7w424l5v3735
pvalue,0.6753465
