analysis_id,m34d74z8y09971b
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
pvalue,0.1742177
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_name,Effector CD8+ T cells - % of CD45+
