analysis_id,qz716lvw97k98k1
parameter_id,MGP_IMM_011_001
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
pvalue,0.7592372
gene_accession_id,MGI:95835
