analysis_id,ssua9c2ql70yd32
gene_symbol,Nanp
mouse_life_stage,E18.5
parameter_name,Forebrain
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:1914561
mouse_strain,C57BL
pvalue,0.393093
