analysis_id,8k16g3b44727n74
mouse_strain,C57BL
gene_symbol,Fgb
pvalue,0.8547147
parameter_name,Lower teeth appearance
gene_accession_id,MGI:99501
parameter_id,IMPC_CSD_070_001
mouse_life_stage,E15.5
