analysis_id,9067325jv4z5j31
pvalue,0.06720448
gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_name,Whole arena resting time
mouse_life_stage,E15.5
parameter_id,JAXLA_OFD_007_001
mouse_strain,C57BL
