parameter_name,Total protein
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
pvalue,0.7617135
analysis_id,z6tbi066hyv700d
parameter_id,IMPC_CBC_006_001
