parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
mouse_strain,B6J
mouse_life_stage,Early adult
analysis_id,057mg2mkz0e5b34
pvalue,0.09241793
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
