parameter_name,Mean cell volume
gene_accession_id,MGI:1338032
pvalue,0.5291639
gene_symbol,Sema6c
analysis_id,i0c055p4u10uq9w
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
mouse_strain,C57BL
