parameter_id,IMPC_ECH_002_001
pvalue,0.7443162
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
analysis_id,1242l42qvtfhdd7
parameter_name,End-Diastolic Diameter
