analysis_id,d2836mrzohr684e
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
parameter_name,Total food intake
mouse_life_stage,Early adult
pvalue,0.4593797
gene_accession_id,MGI:99605
gene_symbol,Cntfr
