parameter_name,Retina (combined)
gene_symbol,Ubxn11
pvalue,0.7739906
mouse_life_stage,Early adult
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1914836
analysis_id,c55iwpf8cvx7b3m
mouse_strain,C57BL
