analysis_id,08glo5neqsnws50
gene_symbol,Casq1
parameter_name,DN CD25- NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
mouse_strain,C57BL
pvalue,0.4660065
parameter_id,IMPC_IMM_025_001
