gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
parameter_name,Effector NK cells - % of NK cells
mouse_life_stage,Early adult
analysis_id,97785j2c9tn993z
parameter_id,MGP_MLN_032_001
pvalue,0.4130792
mouse_strain,C57BL
