gene_symbol,AU040320
parameter_id,MGP_IMM_001_001
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Middle aged adult
analysis_id,a3e8z6s0131d3s0
pvalue,0.9309101
mouse_strain,C57BL
gene_accession_id,MGI:2140475
