analysis_id,73a50073m622i49
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,Early adult
pvalue,0.1566164
gene_accession_id,MGI:1921262
mouse_strain,C57BL
gene_symbol,Rap2b
