analysis_id,ipo216lz4ps089a
parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.2044017
gene_symbol,Slc30a4
