parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
pvalue,0.2585404
gene_accession_id,MGI:1336200
parameter_name,Total T cell percentage
mouse_strain,C57BL
gene_symbol,Hpca
analysis_id,1z54cdzp9i56yd5
