analysis_id,u6n3c9b0tg6gfe3
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.2707913
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,MGP_IMM_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2140475
