analysis_id,89v7i81pty6099r
gene_symbol,Cdin1
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Dark side time spent
pvalue,0.1486084
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:3026886
