analysis_id,q4b99zgx9b79610
gene_symbol,Bpifa3
parameter_id,MGP_MLN_072_001
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1920638
pvalue,0.3281908
mouse_life_stage,Early adult
