parameter_id,JAXLA_GRS_010_001
gene_symbol,Npbwr1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5424495
analysis_id,710nge2r24991d4
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:891989
