parameter_name,Vocalization
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
analysis_id,5c5x6387lw6sd06
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
pvalue,0.7896279
gene_symbol,Eprs1
