parameter_name,Time mobile dark side
analysis_id,47a84fy473t4t93
gene_accession_id,MGI:87968
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Ahcy
pvalue,0.9875485
