parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3419935
gene_accession_id,MGI:2135738
gene_symbol,Abo
analysis_id,5y1l4oneehqrx9i
parameter_name,Tibia length
