gene_symbol,Sema6c
parameter_id,JAXLA_GRS_011_001
mouse_life_stage,Early adult
pvalue,0.9893201
mouse_strain,C57BL
analysis_id,045a9b508n3304u
gene_accession_id,MGI:1338032
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
