parameter_name,Limb morphology
analysis_id,13j99i18s0z7i31
pvalue,0.1756968
gene_symbol,Bdh2
mouse_life_stage,Early adult
gene_accession_id,MGI:1917022
mouse_strain,C54BL
parameter_id,IMPC_GEP_084_001
