gene_symbol,S100a3
mouse_life_stage,Early adult
pvalue,0.9171006
analysis_id,nb9qejtxt4732w4
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1338849
parameter_id,MGP_IMM_100_001
