analysis_id,hxga4lz9kd846jf
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
gene_symbol,Casq1
mouse_strain,C57BL
parameter_name,Coat colouration
pvalue,0.896126
parameter_id,M-G-P_026_001_004
